NOME,DATANASC,CPF,WHATS,EMAIL,DATAFORMACAO,DATASAIDA,FILHOMATRICULADO,created_at,updated_at
Jackie Johnson,1977-10-11,390861475,001-031-634-8680x126,edwardsdanielle@wright-long.com,2002,2020,Não,,
Jason Keith,1968-03-27,314047611,294.732.2391x6327,fpalmer@hotmail.com,2019,1981,Não,,
Mark Nguyen,1977-03-05,236258241,398-751-9831x82126,vnewton@gmail.com,2006,1993,Não,,
John Pacheco,1994-03-16,244375226,976.721.4149x213,zimmermanscott@yahoo.com,2012,1984,Sim,,
Timothy Rhodes,1991-03-02,610547621,001-049-826-5933x44025,zwatson@gmail.com,2009,,Não,,
Thomas Munoz,1978-05-25,800734014,346-516-3639,carmen22@gmail.com,1983,,Sim,,
Anna Bryan,1997-10-24,805289513,376.182.3670x0540,richard73@wheeler.com,1985,,Sim,,
Alexis Rogers,1979-06-18,320921498,+1-778-059-2953,christina28@yahoo.com,1981,2015,Não,,
Jenny Nelson,1969-11-26,658381117,(957)544-9404x04325,mwright@hotmail.com,2016,1984,Não,,
Charles Morris,2005-05-24,536677132,+1-285-694-4356x90431,nicholasbarber@gutierrez-pineda.org,2001,,Sim,,
Brett Kirby,1994-08-13,063881845,5913991226,nfitzgerald@pham.com,1998,,Sim,,
Erica Cooke,1975-01-07,546725848,2972880491,laurie81@hotmail.com,2019,2003,Sim,,
Amanda Oneill,1963-05-07,251057449,(052)890-2139x7512,patrickhardy@gmail.com,1996,2020,Sim,,
Gary Gray,1976-03-02,753912476,(225)498-8528x506,donaldwhite@hull.com,1988,2011,Não,,
Thomas Adams,1951-07-11,696290380,178.843.5553,royhebert@yahoo.com,2001,2020,Sim,,
Arthur Cantrell,1987-03-15,521662160,019-522-2514x81524,joel15@gmail.com,2011,,Sim,,
Jason Dominguez,1964-11-11,264019287,576-515-7816,pmartinez@yahoo.com,2005,,Não,,
Cassidy Manning,1983-08-06,802658749,(732)820-0104,staceyreyes@ford.org,1999,1984,Não,,
Nicole Stafford,1964-04-19,364034144,201-998-2886x1654,brandon69@gonzales.com,2019,1982,Não,,
Jessica Manning,1983-01-21,468608339,9107204343,robert16@atkins.com,2020,,Sim,,
Dawn Martin,1979-06-21,824131221,471-382-2386x3593,brichardson@gmail.com,2008,,Sim,,
Cindy Whitaker,1995-10-15,420128958,(142)196-8129x42688,joseph60@hotmail.com,2014,,Sim,,
Valerie Stanton,1958-10-05,203372033,1052871321,harrischristine@hotmail.com,2017,,Sim,,
Melissa Mcclure,1995-08-11,533367133,+1-326-764-6843,turnersarah@gmail.com,2016,,Sim,,
Sarah Barker,1987-04-21,089383118,001-659-610-2094x09169,reginasweeney@morris-cohen.info,2008,2001,Não,,
Amy Ochoa,1995-01-31,212642557,+1-866-621-4592,vickiwalsh@hotmail.com,2017,,Sim,,
James Chen,1979-05-03,807882426,590.723.8689x2269,jessicasilva@davis.biz,2019,,Sim,,
Kristen Franklin,2006-04-01,007282715,+1-063-373-6967x264,jonathanvaldez@andersen.com,1996,2001,Não,,
Michael Hayes,1992-01-09,014739190,+1-637-792-8286x12262,joan58@gmail.com,2016,2015,Não,,
Lacey Wilson,1968-05-04,479415836,4792954835,brandon40@hotmail.com,2000,2009,Sim,,
Brittney Lee,1952-06-18,312507514,+1-458-120-2585x040,xwhite@matthews.com,1980,,Não,,
Jeremy Henderson,1998-02-14,189716782,+1-483-833-9273x7816,nroberson@thompson.biz,1990,1989,Sim,,
Jessica Rivera,2002-09-25,707355817,+1-420-646-0258x0022,leechristina@moore.com,1984,1988,Não,,
William Wood,1991-01-07,340130817,+1-867-553-0442,qmiddleton@gmail.com,2008,1992,Não,,
Nicholas Cameron,1990-06-05,843570308,+1-015-010-9993,gibsonhenry@hotmail.com,1987,2006,Não,,
Brian Mills,1998-01-01,197120131,001-834-960-3139,acummings@moreno.com,1988,1998,Não,,
Shane Cannon MD,1946-08-02,087477406,(713)403-0130x233,alarson@hampton.com,2013,,Não,,
Sharon Ford,1963-02-09,539816255,275.683.6949,codylyons@stanton-johnston.com,2002,2017,Sim,,
Robert Jones,1949-10-08,596609890,755.512.7404x227,laurenreed@perkins-jones.com,2011,1987,Sim,,
Julie Crawford,2004-08-18,443097255,(289)095-0763,terryandrew@gmail.com,1989,1997,Sim,,
Rebecca Williams,1997-01-06,035892377,(598)228-7955x06504,ehensley@cochran.com,2005,,Sim,,
Troy Clark,1972-12-11,359276349,421.964.1938,lauramarquez@hotmail.com,2005,2011,Não,,
Miguel Ramirez,1955-10-11,135247207,001-569-356-0653x07389,englishjaclyn@yahoo.com,1994,2011,Sim,,
Dr. Tara Russo,1961-05-30,202840183,+1-249-136-2189,christophermahoney@gonzalez.com,1990,1992,Não,,
Diana Bolton,2004-04-18,180586671,317.884.2575,brittanycain@armstrong.com,1987,,Não,,
Heather Williams,1986-02-14,872921134,(335)534-0328,amanda28@dennis.com,2019,1980,Não,,
Daniel Wright,1985-10-30,720232084,107.981.6041x1404,lvasquez@yahoo.com,2005,1981,Sim,,
Tiffany Underwood,1944-09-08,090383537,(516)053-8711,yflores@sosa-olsen.biz,1997,,Sim,,
Sherry Hawkins,1961-08-09,063986079,609.984.3985,ujohnson@ward-morgan.biz,2003,1981,Sim,,
Julie Hensley,1962-12-08,681186980,1985248236,efaulkner@harper-campbell.org,2018,,Sim,,
Diane Wallace,1957-06-14,164508640,+1-206-368-4242x0286,uryan@lane-jackson.org,2016,,Não,,
Robert Lopez,1960-11-26,612608288,956.762.5002,christopher11@yahoo.com,2004,,Sim,,
Kayla Hall,1952-02-14,720484018,(017)512-7457,kelly94@yahoo.com,2010,,Não,,
Destiny Cook,1962-05-14,874675727,041.592.7156x72463,steven24@hicks-sanchez.com,1995,,Não,,
Andrea Vargas,1988-02-26,619556228,001-160-710-1936x35951,knoxgary@potts.org,1994,,Sim,,
Donna Green,1959-08-27,672081997,717-308-1828,briana84@hall-ortega.net,1998,2018,Não,,
Erik Sims,1946-08-25,855417077,144.959.9480x2057,laurawagner@yahoo.com,1994,1990,Não,,
Mr. Jason Smith,1978-06-20,668506060,001-653-430-4062x492,jeffreylarson@walters-carey.com,1995,,Sim,,
James Reynolds,1958-11-28,856297194,(349)815-0062x575,michelle22@yahoo.com,1981,1989,Sim,,
Jason Trujillo,1969-01-21,017279746,825-455-8959,twarren@gmail.com,1987,2000,Sim,,
Michael Henderson,1979-10-24,394849518,(554)412-3719x9785,jeffreyramirez@hotmail.com,1990,,Não,,
Connie Miller,2000-09-29,886418569,638.750.9429,timothy12@berg-buck.com,2003,,Não,,
Brian Ford,1952-02-09,048701136,934.399.5288x09582,tyler43@hotmail.com,1993,,Sim,,
Christina Callahan,1944-05-13,601355614,001-733-429-5520,plowery@day.info,1997,1996,Não,,
Amanda Cochran,1990-02-24,264517799,001-761-575-1546,cameronthomas@hotmail.com,2006,,Não,,
Christina Mccarthy DDS,1978-02-19,260804921,(774)544-1958x0519,elizabeth22@christensen.info,1982,,Não,,
Spencer Watkins,1988-10-19,053284382,416-960-5202x556,brianna64@gmail.com,2017,2007,Sim,,
Ashley Williams,1992-07-20,064243346,595-621-6764,alexander40@johnson.com,1995,,Sim,,
Melissa Best,1985-01-08,330379874,8976522568,maryzavala@gmail.com,1981,,Sim,,
Terri Zavala,1948-01-25,669146563,+1-706-870-6742x4371,anarush@burgess.com,2020,1990,Não,,
Christine Francis,1970-10-29,286763238,386-038-8325x5305,turnermatthew@morris.info,1998,2014,Não,,
Paul Moore,1971-01-31,505164859,0691294216,petersonamanda@kennedy-kelley.com,2003,2019,Não,,
Eric Madden,1947-02-09,493342273,326-507-5337x991,gonzaleskiara@lara-scott.com,2003,2012,Não,,
Kimberly Johnson,2006-02-24,708350369,(767)086-6004x98464,barrettbianca@hotmail.com,1996,,Não,,
Peter Young,1957-11-04,678386496,(550)412-1572x8939,abigailwilson@mitchell-page.com,1980,,Sim,,
Alicia Thomas,2006-09-23,717988669,+1-970-368-8855x133,olivia43@browning.com,2018,,Não,,
Benjamin Farrell,2006-07-29,834265214,307.121.4220,christian47@martin.com,1989,1999,Não,,
Kelly Saunders,1978-05-11,345851663,173.300.9838,jtucker@bentley.com,1983,,Não,,
Candice Erickson,1956-04-01,193250688,791.621.3642x490,phillip17@gmail.com,1980,1985,Não,,
Rebecca Bishop,1987-06-05,023584928,484.411.0554,gilbertchristopher@thomas-perez.org,2016,,Não,,
Mr. Cody Franklin,1961-08-23,024926809,+1-915-693-7452,mariah34@figueroa-edwards.com,1982,,Sim,,
Eddie Mccormick,1973-11-12,499773174,1740461945,carolfranklin@christian-delacruz.info,2020,1983,Sim,,
Michael Wells,1958-02-28,159019456,946-961-3059x432,heathersanders@ramirez.net,2013,2019,Sim,,
Mr. Dustin Stanley,1968-05-18,398651675,521.213.1244x4212,melindabenson@gmail.com,2001,,Sim,,
Scott Huffman,1983-10-12,187721701,001-601-229-2226x9121,longdavid@yahoo.com,2005,1999,Sim,,
Melissa Garcia,1979-05-28,277921493,995-099-4507,rnguyen@gmail.com,1985,1990,Sim,,
Michael Allen,1996-10-05,466624909,124-862-9583x394,ronald01@perez.biz,2002,,Sim,,
Lance Snyder,1952-12-29,756813336,(232)537-6546x050,joseph42@harris.org,2012,,Sim,,
Jeffrey Schaefer,1956-02-26,473768049,001-901-939-3300x061,robertgreen@richards.biz,2010,,Sim,,
Sheila Collins,1993-05-05,876202383,385.671.2705x12994,burgessjoshua@salinas.biz,2007,,Sim,,
Sydney Thornton,2000-04-30,585403023,+1-339-413-3534,gmartinez@wilson.com,2017,,Não,,
Amanda Monroe PhD,1962-02-09,530576790,001-482-453-3695x86751,estradapriscilla@hotmail.com,1988,,Não,,
Karla Charles,1952-04-25,285346873,001-483-866-0192x78564,clarkangel@yahoo.com,2018,,Não,,
Stacy Guzman,1950-02-23,290473476,+1-216-585-5056x4002,jenningsrebecca@hotmail.com,2008,1994,Sim,,
Allison Miller,1996-12-19,439257125,+1-148-604-4416x39359,terry44@martin.com,2000,,Sim,,
Thomas Ellis,2003-09-23,861306498,236.754.3184,fisherwilliam@yahoo.com,1991,,Não,,
Kevin Reynolds,1997-12-25,250014215,164-438-4698x913,charles46@mason.org,1983,,Não,,
Shari Turner,1951-01-26,308739851,(995)183-6720x30009,samuel32@gray-green.com,2004,,Sim,,
Samantha Phillips MD,1954-08-11,292385438,(974)471-6718x558,ugreen@taylor.com,1992,,Não,,
Kenneth Williams,1990-10-24,056079903,+1-250-363-7534x229,roberttucker@gmail.com,2002,2017,Sim,,
Lindsay Gallagher,1985-11-12,889024682,762-076-7549x5748,pedro43@yahoo.com,2009,2002,Não,,
Richard Terry,1951-05-29,332134126,+1-765-892-2961x764,westkyle@hotmail.com,1999,2009,Sim,,
Carolyn Mcmahon,1992-10-11,567738613,+1-565-350-7065x330,montgomerymatthew@lee-fernandez.biz,2011,,Sim,,
Lucas Jacobs,1971-03-07,079059714,906-714-6731,joshuacantu@nash.com,1987,2013,Não,,
James Hall,1972-06-10,581508049,024.698.8714x978,omarfarrell@hotmail.com,2005,1981,Sim,,
Mrs. Sherry Bowen MD,1975-11-25,060553462,382-537-2755x8233,jeremywilson@townsend.net,2013,1991,Sim,,
Kyle Hurley,1967-06-27,077505425,299.483.3134,vicki06@chang-davis.com,2017,2001,Não,,
Mary Schultz,2000-11-29,062810584,(649)643-6619x979,xdunn@spence-allen.com,2010,,Não,,
Ms. Danielle Howard,2003-01-16,220540896,(383)020-3079x795,phillipmurray@johnson.com,1992,1996,Sim,,
Nicole Murphy,1995-02-27,692318173,873-133-4590,makayla49@knight-brennan.net,1989,2006,Não,,
Megan Stout,1952-09-02,367050286,063.763.7121x9117,xphillips@yahoo.com,1981,1994,Não,,
Angela Clements,1993-03-19,533281181,+1-831-510-6435x979,elizabeththompson@williams.com,1981,1988,Não,,
Christopher Brown,1985-11-05,431128749,(458)583-8939x543,jluna@stevens.com,2018,1998,Sim,,
Yesenia Bridges,1996-01-30,086016043,529-854-6267,wilsonjonathan@hotmail.com,2004,1982,Sim,,
Kimberly Walker,1998-02-22,874160787,(400)891-4602x4621,jason33@brown-richard.com,1997,2007,Sim,,
